상권_코드,점포_수,유사_업종_점포_수
1000001,201,212
1000002,115,122
1000003,284,299
1000004,73,84
1000005,76,80
1000006,91,91
1000007,200,216
1000008,86,99
1000009,145,155
1000010,126,143
1000011,123,138
1000012,68,70
1000013,192,194
1000014,62,68
1000015,152,164
1000016,198,202
1000017,521,523
1000018,101,115
1000019,97,108
1000020,101,107
1000021,86,88
1000022,71,74
1000023,48,52
1000024,31,32
1000025,36,41
1000026,85,87
1000027,71,76
1000028,242,260
1000029,65,69
1000030,168,178
1000031,127,139
1000032,233,246
1000033,165,180
1000034,209,232
1000035,110,120
1000036,108,111
1000037,71,72
1000038,85,98
1000039,220,249
1000040,162,177
1000041,124,127
1000042,158,170
1000043,86,90
1000044,152,154
1000045,142,147
1000046,137,147
1000047,162,167
1000048,158,164
1000049,175,179
1000050,31,32
1000051,162,168
1000052,175,178
1000053,127,131
1000054,104,110
1000055,103,107
1000056,113,125
1000057,190,206
1000058,140,155
1000059,60,60
1000060,117,127
1000061,124,133
1000062,130,131
1000063,100,104
1000064,103,107
1000065,135,142
1000066,119,125
1000067,159,166
1000068,162,178
1000069,101,108
1000070,195,205
1000071,323,332
1000072,104,113
1000073,369,446
1000074,55,58
1000075,114,122
1000076,77,89
1000077,194,219
1000078,118,123
1000079,330,356
1000080,200,208
1000081,185,196
1000082,105,110
1000083,74,77
1000084,155,162
1000085,183,193
1000086,120,133
1000087,109,119
1000088,136,155
1000089,44,44
1000090,96,102
1000091,187,197
1000092,122,131
1000093,98,103
1000094,166,174
1000095,77,78
1000096,65,78
1000097,89,98
1000098,138,155
1000099,190,199
1000100,142,152
1000101,68,80
1000102,97,110
1000103,144,153
1000104,218,250
1000105,243,248
1000106,216,226
1000107,165,175
1000108,208,217
1000109,196,205
1000110,295,320
1000111,64,69
1000112,197,203
1000113,254,263
1000114,197,218
1000115,194,202
1000116,198,206
1000117,89,106
1000118,274,286
1000119,131,144
1000120,319,352
1000121,207,232
1000122,59,59
1000123,259,292
1000124,325,332
1000125,161,184
1000126,103,107
1000127,162,178
1000128,117,142
1000129,137,146
1000130,62,64
1000131,144,163
1000132,140,157
1000133,175,189
1000134,205,221
1000135,121,127
1000136,228,245
1000137,193,210
1000138,125,137
1000139,190,202
1000140,151,162
1000141,117,131
1000142,211,222
1000143,76,85
1000144,99,104
1000145,95,101
1000146,137,154
1000147,96,102
1000148,193,212
1000149,95,99
1000150,151,159
1000151,89,100
1000152,114,127
1000153,171,186
1000154,181,206
1000155,138,151
1000156,236,250
1000157,118,128
1000158,244,258
1000159,148,156
1000160,133,139
1000161,181,197
1000162,122,132
1000163,145,154
1000164,117,126
1000165,412,430
1000166,179,191
1000167,200,227
1000168,87,113
1000169,149,168
1000170,97,98
1000171,79,91
1000172,116,120
1000173,141,150
1000174,77,81
1000175,174,187
1000176,203,217
1000177,195,218
1000178,108,118
1000179,52,60
1000180,116,132
1000181,101,109
1000182,72,77
1000183,72,72
1000184,153,167
1000185,130,142
1000186,66,67
1000187,56,59
1000188,105,114
1000189,205,218
1000190,183,189
1000191,75,76
1000192,138,139
1000193,168,180
1000194,54,56
1000195,93,102
1000196,136,149
1000197,91,98
1000198,129,160
